year_x,title,published_at,updated_at,category,song_title,artist,workers,img,winner,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year_y
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Album Of The Year,7,Lil Nas X,"Joe Grasso, engineer/mixer; Montero Lamar Hill, songwriter; Eric Lagg, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Montero%2BLamar%2BHill/Lil%2520Nas%2520X_1_1_1581656760.jpg?itok=_YR6dOjI,True,0.0917,"['Prince', 'The New Power Generation']",0.747,310467.0,0.7490000000000001,0.0,1ESmMKaASDxFICpa5eyqzo,0.0,9.0,0.0444,-6.255,1.0,39.0,1992-10-13,0.0563,100.721,0.562,1992.0
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Album Of The Year,7,Lil Nas X,"Joe Grasso, engineer/mixer; Montero Lamar Hill, songwriter; Eric Lagg, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Montero%2BLamar%2BHill/Lil%2520Nas%2520X_1_1_1581656760.jpg?itok=_YR6dOjI,True,0.000204,['Catfish and the Bottlemen'],0.531,256307.0,0.711,0.0,5ykbOijJEfRhuo2Td1m0Qd,0.0029100000000000003,10.0,0.108,-4.933,1.0,66.0,2016-05-27,0.0398,155.06799999999996,0.279,2016.0
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Album Of The Year,Cuz I Love You (Deluxe),Lizzo,"Ricky Reed, producer; Manny Marroquin & Ethan Shumaker, engineers/mixers; Eric Frederic & Melissa Jefferson, songwriters; Chris Gehringer, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ricky%2BReed/Ricky%2520Reed_1_1_1581552716.jpg?itok=Qw0BFFJ4,True,,,,,,,,,,,,,,,,,,
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Album Of The Year,Father Of The Bride,Vampire Weekend,"Ezra Koenig & Ariel Rechtshaid, producers; John DeBold, Chris Kasych, Takemasa Kosaka, Ariel Rechtshaid & Hiroya Takayama, engineers/mixers; Ezra Koenig, songwriter; Emily Lazar, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Vampire%2BWeekend/Vampire%2520Weekend_1_1_1578387474.jpg?itok=mAj-5E-g,True,,,,,,,,,,,,,,,,,,
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Song Of The Year,Bad Guy,,"Billie Eilish O'Connell & Finneas O'Connell, songwriters (Billie Eilish)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Billie%2BEilish/Billie%2520Eilish_1_1_1594138954.jpg?itok=3-71Dfxh,True,0.064,['Eminem'],0.612,434077.0,0.797,1.0,3IaAYtmN8T0YIYVqnxNnVz,0.0,1.0,0.257,-3.648,1.0,59.0,2013-11-05,0.448,81.086,0.358,2013.0
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Song Of The Year,Always Remember Us This Way,,"Natalie Hemby, Lady Gaga, Hillary Lindsey & Lori McKenna, songwriters (Lady Gaga)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Natalie%2BHemby/Natalie%2520Hemby_1_1_1591113039.jpg?itok=AKF_O3V1,True,0.299,['Lady Gaga'],0.5529999999999999,210200.0,0.502,0.0,2rbDhOo9Fh61Bbu23T2qCk,0.0,0.0,0.764,-5.972,1.0,79.0,2018-10-05,0.0409,129.976,0.29600000000000004,2018.0
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Song Of The Year,Always Remember Us This Way,,"Natalie Hemby, Lady Gaga, Hillary Lindsey & Lori McKenna, songwriters (Lady Gaga)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Natalie%2BHemby/Natalie%2520Hemby_1_1_1591113039.jpg?itok=AKF_O3V1,True,0.299,['Lady Gaga'],0.5529999999999999,210200.0,0.502,0.0,74iZuPGwyL33VlTr6jTnab,0.0,0.0,0.764,-5.972,1.0,73.0,2018-10-05,0.0409,129.976,0.29600000000000004,2018.0
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Song Of The Year,Bring My Flowers Now,,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Brandi%2BCarlile/Brandi%2520Carlile_1_1_1597247043.jpg?itok=5265JEVE,True,,,,,,,,,,,,,,,,,,
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Song Of The Year,Hard Place,,"Ruby Amanfu, Sam Ashworth, D. Arcelious Harris, H.E.R. & Rodney Jerkins, songwriters (H.E.R.)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ruby%2BAmanfu/Ruby%2520Amanfu_1_1_1575355707.jpg?itok=b5G4Hn8y,True,0.179,['H.E.R.'],0.614,271733.0,0.7190000000000001,0.0,4IablJ6SqVNGY4vrseyKxu,1.7199999999999998e-05,9.0,0.163,-4.694,1.0,65.0,2018-11-02,0.0955,160.075,0.34,2018.0
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Song Of The Year,Lover,,"Taylor Swift, songwriter (Taylor Swift)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Taylor%2BSwift/Taylor%2520Swift_1_1_1588259933.jpg?itok=faoR37HC,True,0.805,['Charlie Parker'],0.429,188960.0,0.62,0.0,563zP8kjlLEHzTfKQTsVvH,0.0414,0.0,0.166,-10.683,1.0,14.0,1953-09-23,0.0597,136.039,0.387,1953.0
